best_auc,best_auc_threshold,best_f1_score,best_f1_score_threshold,_total,_tot_anomaly,_tot_normal,_tpr_recall,_precision,_accuracy,_f1_score,_fnr,_tnr,_fpr,_t_pos,_f_pos,_f_neg,_t_neg,_auc,total,tot_anomaly,tot_normal,tpr_recall,precision,accuracy,f1_score,fnr,tnr,fpr,t_pos,f_pos,f_neg,t_neg,auc,time_to_fit
0.9684,1.3939523831868552,0.9678796503354341,1.3939523831868552,10000,5000,5000,0.9522,0.9840843323687474,0.9684,0.9678796503354341,0.0478,0.9846,0.0154,4761,77,239,4923,0.9684,10000,5000,5000,0.9522,0.9840843323687474,0.9684,0.9678796503354341,0.0478,0.9846,0.0154,4761,77,239,4923,0.9684,49.61747691100027
0.974,1.3924730703091597,0.9735611145007118,1.3924730703091597,10000,5000,5000,0.9574,0.9902772031443938,0.974,0.9735611145007118,0.0426,0.9906,0.0094,4787,47,213,4953,0.974,10000,5000,5000,0.9574,0.9902772031443938,0.974,0.9735611145007118,0.0426,0.9906,0.0094,4787,47,213,4953,0.974,3.3016196850003325
0.9740000000000001,1.393950944264353,0.9737161342498989,1.393950944264353,10000,5000,5000,0.9632,0.9844644317252658,0.974,0.9737161342498989,0.0368,0.9848,0.0152,4816,76,184,4924,0.9740000000000001,10000,5000,5000,0.9632,0.9844644317252658,0.974,0.9737161342498989,0.0368,0.9848,0.0152,4816,76,184,4924,0.9740000000000001,3.3412357550005254
0.9617,1.4016969619453492,0.9613170386829613,1.4016969619453492,10000,5000,5000,0.9518,0.9710263211589472,0.9617,0.9613170386829613,0.0482,0.9716,0.0284,4759,142,241,4858,0.9617,10000,5000,5000,0.9518,0.9710263211589472,0.9617,0.9613170386829613,0.0482,0.9716,0.0284,4759,142,241,4858,0.9617,57.767865322000944
0.9706,1.3914073160592375,0.9699263502454991,1.3914073160592375,10000,5000,5000,0.9482,0.9926716917922948,0.9706,0.9699263502454991,0.0518,0.993,0.007,4741,35,259,4965,0.9706,10000,5000,5000,0.9482,0.9926716917922948,0.9706,0.9699263502454991,0.0518,0.993,0.007,4741,35,259,4965,0.9706,3.224973874999705
0.9504000000000001,1.3959646603061027,0.9507838856916054,1.3959646603061027,10000,5000,5000,0.9582,0.9434816857030327,0.9504,0.9507838856916054,0.0418,0.9426,0.0574,4791,287,209,4713,0.9504000000000001,10000,5000,5000,0.9582,0.9434816857030327,0.9504,0.9507838856916054,0.0418,0.9426,0.0574,4791,287,209,4713,0.9504000000000001,55.0289005020004
0.978,1.3832555393183479,0.9775693311582382,1.3832555393183479,10000,5000,5000,0.9588,0.9970881863560732,0.978,0.9775693311582382,0.0412,0.9972,0.0028,4794,14,206,4986,0.978,10000,5000,5000,0.9588,0.9970881863560732,0.978,0.9775693311582382,0.0412,0.9972,0.0028,4794,14,206,4986,0.978,56.921751306999795
0.9751000000000001,1.399544127638655,0.9747797022181708,1.399544127638655,10000,5000,5000,0.9624,0.9874820439154525,0.9751,0.9747797022181708,0.0376,0.9878,0.0122,4812,61,188,4939,0.9751000000000001,10000,5000,5000,0.9624,0.9874820439154525,0.9751,0.9747797022181708,0.0376,0.9878,0.0122,4812,61,188,4939,0.9751000000000001,3.324357482000778
0.9469,1.4035568226844712,0.9474101218183618,1.4035568226844712,10000,5000,5000,0.9566,0.9383951343927801,0.9469,0.9474101218183618,0.0434,0.9372,0.0628,4783,314,217,4686,0.9469,10000,5000,5000,0.9566,0.9383951343927801,0.9469,0.9474101218183618,0.0434,0.9372,0.0628,4783,314,217,4686,0.9469,3.3272077239998907
0.9578,1.3919504124734117,0.9579681274900398,1.3919504124734117,10000,5000,5000,0.9618,0.9541666666666667,0.9578,0.9579681274900398,0.0382,0.9538,0.0462,4809,231,191,4769,0.9578,10000,5000,5000,0.9618,0.9541666666666667,0.9578,0.9579681274900398,0.0382,0.9538,0.0462,4809,231,191,4769,0.9578,113.76449805999982
