total,threshold,tpr_recall,precision,accuracy,f1_score,t_pos,f_pos,f_neg,t_neg,auc,time_to_fit
90000,9.699999999999982,0.9951923076923077,0.5991316931982634,0.9969,0.7479674796747969,414,277,2,89307,0.9960501188399028,635.9265574890014
90000,10.399999999999979,0.9775784753363229,0.6080892608089261,0.9967666666666667,0.7497850386930351,436,281,10,89273,0.9872203518562491,637.4077037910029
90000,9.499999999999982,0.9814814814814815,0.6083213773314203,0.9968777777777778,0.7511071744906997,424,273,8,89295,0.9892167589615338,640.6998446910002
90000,10.399999999999979,0.9783132530120482,0.5927007299270073,0.9968,0.7381818181818182,406,279,9,89306,0.9875994461744954,641.921306436001
90000,9.599999999999982,0.9913419913419913,0.621438263229308,0.9968555555555556,0.7639699749791493,458,279,4,89259,0.994112997949358,647.0488289869973
90000,9.599999999999982,0.9931350114416476,0.6061452513966481,0.9968333333333333,0.7528187337380746,434,282,3,89281,0.9949931949005074,647.9289706029958
90000,9.799999999999981,0.9792147806004619,0.5683646112600537,0.9963222222222222,0.7192536047497881,424,322,9,89245,0.9878098532609196,650.9460166579956
90000,9.599999999999982,0.9837587006960556,0.6091954022988506,0.9969,0.7524401064773736,424,272,7,89297,0.990360967871948,652.992611059999
90000,10.799999999999978,0.9886104783599089,0.5904761904761905,0.9966,0.7393526405451448,434,301,5,89260,0.9926248202476068,654.7084480789999
90000,9.399999999999983,0.9847328244274809,0.5733333333333334,0.9967333333333334,0.7247191011235955,387,288,6,89319,0.9907593949048249,657.1837310009942
90000,10.09999999999998,0.9906103286384976,0.5804676753782668,0.9965666666666667,0.7320034692107545,422,305,4,89269,0.993602661360801,659.5511503710004
90000,9.499999999999982,0.9789719626168224,0.5739726027397261,0.9964444444444445,0.7236614853195165,419,311,9,89261,0.9877499477264882,661.2732908369944
90000,11.099999999999977,0.9750566893424036,0.6090651558073654,0.9968111111111111,0.7497820401046208,430,276,11,89283,0.9859874610079183,664.1528407860023
90000,10.09999999999998,0.9781553398058253,0.5724431818181818,0.9965555555555555,0.7222222222222222,403,301,9,89287,0.987397757414633,666.819257420997
90000,9.499999999999982,0.9904076738609112,0.5908440629470673,0.9967777777777778,0.7401433691756272,413,286,4,89297,0.9936075519210231,669.4236033729976
90000,10.29999999999998,0.984375,0.5841059602649007,0.9964333333333333,0.7331670822942644,441,314,7,89238,0.9904343286582097,672.0153064170008
90000,9.399999999999983,0.9882903981264637,0.5702702702702702,0.9964111111111111,0.7232219365895458,422,318,5,89255,0.9923701105879099,674.0983609049945
90000,9.89999999999998,0.9784172661870504,0.5973645680819912,0.9968444444444444,0.7418181818181819,408,275,9,89308,0.9876737436613785,675.7307163360019
90000,9.099999999999984,0.995249406175772,0.6090116279069767,0.9969888888888889,0.7556357078449053,419,269,2,89310,0.9961232351099001,678.7287042140015
90000,10.19999999999998,0.9867549668874173,0.6148555708390646,0.9968222222222223,0.7576271186440677,447,280,6,89267,0.9918140586500248,683.1133496210023
90000,9.799999999999981,0.9805194805194806,0.6146540027137042,0.9967444444444444,0.755629691409508,453,284,9,89254,0.98867382143198,684.5986279780045
90000,9.799999999999981,0.9977477477477478,0.6346704871060171,0.9971555555555556,0.7758318739054292,443,255,1,89301,0.9974501836688624,686.5164607900006
90000,10.599999999999978,0.9887387387387387,0.5972789115646259,0.9966555555555555,0.7446988973706531,439,296,5,89260,0.9927167721117875,687.9937994649954
90000,10.699999999999978,0.9828693790149893,0.6128170894526035,0.9966888888888888,0.7549342105263157,459,290,8,89243,0.9898151749151096,690.1842964820025
90000,9.89999999999998,0.975669099756691,0.5778097982708934,0.9966333333333334,0.72579185520362,401,293,10,89296,0.9861993044799148,680.1690215210037
90000,9.699999999999982,0.9931662870159453,0.6055555555555555,0.9968111111111111,0.7523727351164797,436,284,3,89277,0.9949976319571859,674.1739997619952
90000,10.499999999999979,0.9675925925925926,0.6031746031746031,0.9967888888888888,0.743111111111111,418,275,14,89293,0.9822611498154102,695.5189210859971
90000,9.799999999999981,0.9812646370023419,0.5909732016925247,0.9966888888888888,0.7376760563380281,419,290,8,89283,0.9890135271243052,697.1296050980018
90000,9.699999999999982,0.9815242494226328,0.6168359941944848,0.9969777777777777,0.7575757575757576,425,264,8,89303,0.9892883676356078,677.9387171540002
90000,10.599999999999978,0.969309462915601,0.5759878419452887,0.9967666666666667,0.7225929456625357,379,279,12,89330,0.9830979681862542,698.8235856620013
90000,10.399999999999979,0.9722921914357683,0.5769805680119582,0.9967333333333334,0.7242026266416511,386,283,11,89320,0.9845669075210604,703.3146598899984
90000,10.09999999999998,0.975669099756691,0.5811594202898551,0.9966777777777778,0.7284287011807448,401,289,10,89300,0.9862216286491767,705.3751735410042
90000,9.799999999999981,0.9908256880733946,0.582995951417004,0.9965222222222222,0.7340696686491078,432,309,4,89255,0.9936878205897766,709.243163977997
90000,9.299999999999983,0.988399071925754,0.6173913043478261,0.9970111111111111,0.7600356824264051,426,264,5,89305,0.9927258117949171,710.3764047830045
90000,9.499999999999982,0.9949494949494949,0.5768667642752562,0.9967666666666667,0.7303058387395737,394,289,2,89315,0.9958620962538198,712.77583762
90000,9.699999999999982,0.9928909952606635,0.5893108298171589,0.9967222222222222,0.7396293027360987,419,292,3,89286,0.9948156331546792,715.579486265
90000,10.399999999999979,0.9827160493827161,0.5582047685834503,0.9964222222222222,0.7119856887298748,398,315,7,89280,0.9896001140936684,717.5226452259958
90000,9.799999999999981,0.9879227053140096,0.5944767441860465,0.9968444444444444,0.7422867513611615,409,279,5,89307,0.9924041897074368,721.4247390860037
90000,9.699999999999982,0.9953161592505855,0.5697050938337802,0.9964111111111111,0.7246376811594204,425,321,2,89252,0.9958662450322793,723.9170760690031
90000,10.999999999999977,0.9775784753363229,0.6089385474860335,0.9967777777777778,0.7504302925989672,436,280,10,89274,0.9872259350797791,726.0555265450021
90000,10.599999999999978,0.9813953488372092,0.6124818577648766,0.9969444444444444,0.7542448614834674,422,267,8,89303,0.9892072200253926,727.4354453850028
